GENERO,EDAD,punto_base,punto_comparado,MIEDO,SORPRESA,ASCO,ENFADO,TRISTEZA,Aburrimiento,ALEGRIA,MEDIA,DESV. EST,coef. variación
F,17,2-6,2-3,"0,42","0,51","0,43","0,51","0,44","0,58","0,43","0,48","0,061","0,1280446648"
F,17,6-8,2-3,"0,69","0,73","0,78","0,89","0,7","0,85","0,79","0,78","0,076","0,09739331691"
F,17,8-9,2-3,"0,77","0,76","0,93","1,02","0,86","0,83","0,85","0,86","0,09","0,1050392115"
F,17,7A-7B,2-3,"0,31","0,33","0,2","0,22","0,14","0,25","0,13","0,23","0,076","0,334029716"
F,17,2-18,2-3,"0,62","0,82","0,8","0,91","0,78","0,88","0,64","0,78","0,111","0,1431075078"
F,17,6-7,2-3,"0,33","0,36","0,46","0,51","0,32","0,48","0,45","0,42","0,078","0,18716058"
F,17,3-8,2-3,"0,52","0,69","0,48","0,56","0,3","0,63","0,57","0,53","0,124","0,2320312898"
F,17,2-3,6-8,"1,44","1,38","1,29","1,13","1,43","1,17","1,26","1,3","0,124","0,09534252349"
F,17,2-6,6-8,"0,61","0,7","0,55","0,58","0,63","0,68","0,55","0,61","0,062","0,1002922549"
F,17,6-8,6-8,1,1,1,1,1,1,1,1,0,0
F,17,8-9,6-8,"1,11","1,05","1,19","1,15","1,23","0,98","1,07","1,11","0,087","0,07818844691"
F,17,7A-7B,6-8,"0,44","0,45","0,26","0,25","0,2","0,29","0,17","0,3","0,112","0,3788125107"
F,17,2-18,6-8,"0,89","1,13","1,02","1,03","1,11","1,02","0,81",1,"0,115","0,1146278189"
F,17,6-7,6-8,"0,47","0,5","0,6","0,58","0,46","0,56","0,57","0,53","0,055","0,103965809"
F,17,3-8,6-8,"0,75","0,95","0,62","0,63","0,43","0,73","0,71","0,69","0,159","0,2305441495"
F,17,2-3,7A-7B,"3,25","3,06","4,91","4,5","7,14",4,"7,57","4,92","1,792","0,3642647136"
F,17,2-6,7A-7B,"1,38","1,56","2,09","2,3","3,14","2,33","3,29","2,3","0,723","0,314686913"
F,17,6-8,7A-7B,"2,25","2,22","3,82",4,5,"3,42",6,"3,82","1,376","0,3606101229"
F,17,8-9,7A-7B,"2,5","2,33","4,55","4,6","6,14","3,33","6,43","4,27","1,639","0,383861544"
F,17,7A-7B,7A-7B,1,1,1,1,1,1,1,1,0,0
F,17,2-18,7A-7B,2,"2,5","3,91","4,1","5,57","3,5","4,86","3,78","1,25","0,330943338"
F,17,6-7,7A-7B,"1,06","1,11","2,27","2,3","2,29","1,92","3,43","2,05","0,811","0,3946657487"
F,17,3-8,7A-7B,"1,69","2,11","2,36","2,5","2,14","2,5","4,29","2,51","0,831","0,3307544146"
F,12,2-6,2-3,"0,52","0,56","0,49","0,5","0,53","0,48","0,5","0,51","0,027","0,05372196016"
F,12,6-8,2-3,"0,96",1,"0,92","0,88","0,98","0,92","0,98","0,95","0,043","0,04540753026"
F,12,8-9,2-3,"0,83","0,84","0,88","0,82","0,82","0,84","0,8","0,83","0,025","0,02949357461"
F,12,7A-7B,2-3,"0,21","0,24","0,2","0,22","0,2","0,22","0,18","0,21","0,019","0,08799124355"
F,12,2-18,2-3,"0,56","0,56","0,55","0,5","0,49","0,5","0,46","0,52","0,04","0,07744227044"
F,12,6-7,2-3,"0,35","0,36","0,31","0,34","0,35","0,28","0,3","0,33","0,031","0,09488295033"
F,12,3-8,2-3,"0,42","0,4","0,41","0,42","0,45","0,42","0,42","0,42","0,015","0,03625796418"
F,12,2-3,6-8,"1,04",1,"1,09","1,14","1,02","1,09","1,02","1,06","0,049","0,04618529755"
F,12,2-6,6-8,"0,54","0,56","0,53","0,57","0,54","0,52","0,51","0,54","0,02","0,03762148815"
F,12,6-8,6-8,1,1,1,1,1,1,1,1,0,0
F,12,8-9,6-8,"0,87","0,84","0,96","0,93","0,83","0,91","0,82","0,88","0,054","0,06124535518"
F,12,7A-7B,6-8,"0,22","0,24","0,22","0,25","0,21","0,24","0,18","0,22","0,023","0,1014833109"
F,12,2-18,6-8,"0,59","0,56","0,6","0,57","0,5","0,54","0,47","0,55","0,047","0,08599131675"
F,12,6-7,6-8,"0,37","0,36","0,33","0,39","0,35","0,3","0,31","0,34","0,031","0,09111500455"
F,12,3-8,6-8,"0,43","0,4","0,44","0,48","0,46","0,46","0,43","0,44","0,025","0,05622063855"
F,12,2-3,7A-7B,"4,8","4,17","4,9","4,55","4,9","4,55","5,56","4,77","0,43","0,09"
F,12,2-6,7A-7B,"2,5","2,33","2,4","2,27","2,6","2,18","2,78","2,44","0,2","0,08"
F,12,6-8,7A-7B,"4,6","4,17","4,5",4,"4,8","4,18","5,44","4,53","0,49","0,11"
F,12,8-9,7A-7B,4,"3,5","4,3","3,73",4,"3,82","4,44","3,97","0,33","0,08"
F,12,7A-7B,7A-7B,1,1,1,1,1,1,1,1,0,0
F,12,2-18,7A-7B,"2,7","2,33","2,7","2,27","2,4","2,27","2,56","2,46","0,19","0,08"
F,12,6-7,7A-7B,"1,7","1,5","1,5","1,55","1,7","1,27","1,67","1,55","0,15","0,1"
F,12,3-8,7A-7B,2,"1,67",2,"1,91","2,2","1,91","2,33",2,"0,22","0,11"
M,12,2-6,2-3,"0,4","0,5","0,33","0,4","0,34","1,24","0,4","0,52","0,325","0,6303206927"
M,12,6-8,2-3,"0,6","0,63","0,68","0,6","0,5","1,28","0,54","0,69","0,267","0,3875787625"
M,12,8-9,2-3,"0,68","0,75","0,63","0,6","0,54","0,4","0,44","0,58","0,126","0,2181046052"
M,12,7A-7B,2-3,"0,2","0,25","0,2","0,12","0,14","0,84","0,1","0,26","0,259","0,9808341088"
M,12,2-18,2-3,"0,6","0,75","0,63","0,8","0,5","1,24","0,5","0,72","0,257","0,3594209282"
M,12,6-7,2-3,"0,28","0,35","0,63","0,28","0,3","0,6","0,3","0,39","0,153","0,3927978424"
M,12,3-8,2-3,"0,3","0,38","0,33","0,3","0,28","0,6","0,3","0,35","0,113","0,317715752"
M,12,2-3,6-8,"1,67","1,6","1,48","1,67",2,"0,78","1,85","1,58","0,39","0,247215355"
M,12,2-6,6-8,"0,67","0,8","0,48","0,67","0,68","0,97","0,74","0,71","0,149","0,2080279781"
M,12,6-8,6-8,1,1,1,1,1,1,1,1,0,0
M,12,8-9,6-8,"1,13","1,2","0,93",1,"1,08","0,31","0,81","0,92","0,299","0,3235315086"
M,12,7A-7B,6-8,"0,33","0,4","0,3","0,2","0,28","0,66","0,19","0,34","0,159","0,4748523767"
M,12,2-18,6-8,1,"1,2","0,93","1,33",1,"0,97","0,93","1,05","0,156","0,1480590274"
M,12,6-7,6-8,"0,47","0,56","0,93","0,47","0,6","0,47","0,56","0,58","0,163","0,281889094"
M,12,3-8,6-8,"0,5","0,6","0,48","0,5","0,56","0,47","0,56","0,52","0,048","0,09250130944"
M,12,2-3,7A-7B,5,4,5,"8,33","7,14","1,19",10,"5,81","2,93","0,5"
M,12,2-6,7A-7B,2,2,"1,63","3,33","2,43","1,48",4,"2,41","0,93","0,39"
M,12,6-8,7A-7B,3,"2,5","3,38",5,"3,57","1,52","5,4","3,48","1,36","0,39"
M,12,8-9,7A-7B,"3,4",3,"3,13",5,"3,86","0,48","4,4","3,32","1,44","0,43"
M,12,7A-7B,7A-7B,1,1,1,1,1,1,1,1,0,0
M,12,2-18,7A-7B,3,3,"3,13","6,67","3,57","1,48",5,"3,69","1,67","0,45"
M,12,6-7,7A-7B,"1,4","1,4","3,13","2,33","2,14","0,71",3,"2,02","0,89","0,44"
M,12,3-8,7A-7B,"1,5","1,5","1,63","2,5",2,"0,71",3,"1,83","0,75","0,41"
M,40,2-6,2-3,"0,33","0,38","0,29","0,25","0,27",,"0,28",,,
M,40,6-8,2-3,"0,56","0,5","0,69","0,73","0,32",,"0,56",,,
M,40,8-9,2-3,"0,62","0,75","0,71","0,78","0,68",,"0,61",,,
M,40,7A-7B,2-3,"0,2","0,23","0,19","0,18","0,14",,"0,14",,,
M,40,2-18,2-3,"0,6","0,58","0,95","0,75","0,68",,"0,69",,,
M,40,6-7,2-3,"0,24","0,25","0,24","0,33","0,19",,"0,31",,,
M,40,3-8,2-3,"0,33","0,3","0,26","0,13","0,27",,"0,28",,,